Confirmed,PlayerFirstName,PlayerLastName,PlayerShortName,PlayerSlug,PlayerPosition,Time,IsHome,IncidentClass,IncidentType,GameID
true,null,null,J. Maddison,james-maddison,M,60,false,penaltyNotAwarded,varDecision,5574
false,null,null,W. Boly,willy-boly,D,45,true,goalAwarded,varDecision,5574
true,null,null,J. Stephens,jack-stephens,D,82,true,penaltyNotAwarded,varDecision,5575
true,null,null,S. Mané,sadio-mane,F,78,false,goalAwarded,varDecision,5576
false,,,S. Bergwijn,steven-bergwijn,F,45,false,penaltyNotAwarded,varDecision,5577
true,,,S. Bergwijn,steven-bergwijn,F,42,false,penaltyNotAwarded,varDecision,5577
false,null,null,O. Giroud,olivier-giroud,F,77,true,goalAwarded,varDecision,5579
false,null,null,K. Zouma,kurt-zouma,D,56,true,goalAwarded,varDecision,5579
true,null,null,G. Lo Celso,lo-celso-giovani,M,52,false,cardUpgrade,varDecision,5581
true,null,null,O. Giroud,olivier-giroud,F,16,true,goalAwarded,varDecision,5581
false,,,M. Vydra,matej-vydra,F,59,true,penaltyNotAwarded,varDecision,5582
false,null,null,P. Billing,philip-billing,M,22,false,goalAwarded,varDecision,5582
true,null,null,J. Lundstram,john-lundstram,M,85,true,cardUpgrade,varDecision,5584
true,null,null,Gabriel,gabriel-jesus,F,81,false,goalAwarded,varDecision,5586
false,,,İ. Gündoğan,ilkay-gundogan,M,61,false,penaltyNotAwarded,varDecision,5586
false,null,null,T. Deeney,troy-deeney,F,53,false,goalAwarded,varDecision,5587
true,,,B. Godfrey,ben-godfrey,D,78,false,cardUpgrade,varDecision,5588
true,,,D. Jota,diogo-jota,F,31,true,goalAwarded,varDecision,5588
true,null,null,D. Calvert-Lewin,dominic-calvert-lewin,F,2,false,goalAwarded,varDecision,5589
false,,,K. Iheanacho,kelechi-iheanacho,F,50,false,goalAwarded,varDecision,5591
true,null,null,J. King,joshua-king,F,58,true,goalAwarded,varDecision,5593
true,null,null,A. Cresswell,aaron-cresswell,D,64,true,penaltyNotAwarded,varDecision,5595
false,null,null,D. Calvert-Lewin,dominic-calvert-lewin,F,90,true,goalAwarded,varDecision,5597
true,null,null,T. Davies,tom-davies,M,41,true,cardUpgrade,varDecision,5597
true,null,null,R. Mahrez,riyad-mahrez,F,50,true,penaltyAwarded,varDecision,5600
false,,,A. Lacazette,alexandre-lacazette,F,78,true,goalNotAwarded,varDecision,5602
true,,,A. Lacazette,alexandre-lacazette,F,67,true,penaltyNotAwarded,varDecision,5602
true,null,null,É. Capoue,etienne-capoue,M,49,false,cardUpgrade,varDecision,5603
true,null,null,J. Ayew,jordan-ayew,F,30,true,goalAwarded,varDecision,5603
false,null,null,S. Boufal,sofiane-boufal,M,42,true,penaltyNotAwarded,varDecision,5605
false,null,null,M. Djenepo,moussa-djenepo,M,27,true,cardUpgrade,varDecision,5605
true,,,S. Agüero,sergio-aguero,F,48,false,goalNotAwarded,varDecision,5609
true,,,H. Barnes,harvey-barnes,M,61,true,penaltyAwarded,varDecision,5610
false,,,B. Fernandes,bruno-fernandes,M,90,false,penaltyAwarded,varDecision,5612
true,null,null,P. Aubameyang,pierre-emerick-aubameyang,F,53,false,goalNotAwarded,varDecision,5614
true,null,null,L. Cook,lewis-cook,M,90,true,cardUpgrade,varDecision,5616
true,,,G. Cahill,gary-cahill,D,48,false,cardUpgrade,varDecision,5616
false,,,S. Agüero,sergio-aguero,F,45,true,penaltyNotAwarded,varDecision,5620
true,null,null,A. Connolly,aaron-connolly,F,12,false,penaltyAwarded,varDecision,5621
true,null,null,D. Sánchez,davinson-sanchez,D,65,true,goalAwarded,varDecision,5622
false,null,null,H. M. Son,heung-min-son,F,45,true,goalAwarded,varDecision,5622
true,null,null,K. McLean,kenny-mclean,M,66,true,cardUpgrade,varDecision,5625
true,null,null,J. Stephens,jack-stephens,D,86,true,redCardGiven,varDecision,5629
false,null,null,T. Abraham,tammy-abraham,F,76,true,penaltyNotAwarded,varDecision,5630
true,null,null,A. Rüdiger,antonio-rudiger,D,66,true,cardUpgrade,varDecision,5630
true,null,null,J. Ayew,jordan-ayew,F,50,true,cardUpgrade,varDecision,5633
true,,,T. Cantwell,todd-cantwell,M,60,false,penaltyNotAwarded,varDecision,5635
true,null,null,V. Lazaro,valentino-lazaro,M,78,false,goalAwarded,varDecision,5636
false,null,null,L. Digne,lucas-digne,D,13,true,penaltyNotAwarded,varDecision,5637
false,,,T. Souček,tomas-soucek,M,35,true,goalAwarded,varDecision,5638
false,null,null,H. Kane,harry-kane,F,34,false,goalAwarded,varDecision,5639
false,null,null,R. Mahrez,riyad-mahrez,F,90,true,goalAwarded,varDecision,5640
true,null,null,S. Mané,sadio-mane,F,56,false,penaltyNotAwarded,varDecision,5640
true,,,M. Rashford,marcus-rashford,M,65,true,goalNotAwarded,varDecision,5643
true,,,B. Fernandes,bruno-fernandes,M,60,true,goalAwarded,varDecision,5643
true,null,null,M. Greenwood,mason-greenwood,M,55,true,goalAwarded,varDecision,5643
true,null,null,A. Danjuma,arnaut-danjuma,F,48,false,penaltyAwarded,varDecision,5643
true,,,M. Rashford,marcus-rashford,M,34,true,penaltyAwarded,varDecision,5643
true,null,null,C. Pulišić,christian-pulisic,F,86,true,penaltyNotAwarded,varDecision,5645
true,null,null,J. Tarkowski,james-tarkowski,D,43,true,goalAwarded,varDecision,5646
true,,,J. Vardy,jamie-vardy,F,85,false,goalAwarded,varDecision,5653
false,null,null,E. Nketiah,edward-nketiah,F,73,true,cardUpgrade,varDecision,5653
true,null,null,B. Sharp,billy-sharp,F,30,true,penaltyNotAwarded,varDecision,5655
true,null,null,C. Wood,chris-wood,F,77,false,goalNotAwarded,varDecision,5656
true,null,null,P. Groß,pascal-gross,M,26,true,goalNotAwarded,varDecision,5657
false,null,null,C. Wilson,callum-wilson,F,90,true,goalAwarded,varDecision,5658
true,null,null,H. Kane,harry-kane,F,5,false,penaltyNotAwarded,varDecision,5658
true,,,J. Bednarek,jan-bednarek,D,62,false,cardUpgrade,varDecision,5659
true,,,B. Fernandes,bruno-fernandes,M,27,false,penaltyAwarded,varDecision,5660
true,null,null,D. Welbeck,danny-welbeck,F,60,true,penaltyNotAwarded,varDecision,5662
true,null,null,J. Rodriguez,jay-rodriguez,F,70,false,goalAwarded,varDecision,5663
